Source,Target,Type,Weight
-N5eucPMTTc,Mv-CJ44KbW4,Undirected,8
-N5eucPMTTc,RDP8Oh-br4Y,Undirected,1
-N5eucPMTTc,JDDP9fY6dmI,Undirected,1
-N5eucPMTTc,aRXgvkpMZrI,Undirected,1
-N5eucPMTTc,EvWPqF_AQHI,Undirected,1
-N5eucPMTTc,uXNIeQjav80,Undirected,1
-N5eucPMTTc,ijJPFowBsBc,Undirected,2
-N5eucPMTTc,Jw1Y-zhQURU,Undirected,1
-N5eucPMTTc,A5TPOKoE1_M,Undirected,30
-N5eucPMTTc,rXbrryghxAA,Undirected,2
-N5eucPMTTc,Mn-3c6of8t8,Undirected,1
-N5eucPMTTc,wEkCf0IVAV4,Undirected,1
-N5eucPMTTc,8vambqBQVwk,Undirected,2
-N5eucPMTTc,0PW9MWDWLH8,Undirected,3
-N5eucPMTTc,KfD8nLAeMDQ,Undirected,1
-N5eucPMTTc,svZScJMh4Pg,Undirected,1
-N5eucPMTTc,wsXxfgJZ4E4,Undirected,5
-N5eucPMTTc,xpSHpVJsgCQ,Undirected,2
-N5eucPMTTc,I2kAkhboAn8,Undirected,9
-N5eucPMTTc,uI4AsXCHfWU,Undirected,1
-N5eucPMTTc,Z8qKEQhBdAg,Undirected,1
-N5eucPMTTc,FaJmopuuhZE,Undirected,1
-N5eucPMTTc,S-iiG3-4FJ8,Undirected,4
-N5eucPMTTc,tE8pKjl9jgo,Undirected,3
-N5eucPMTTc,Djxjmq9pvrM,Undirected,1
-N5eucPMTTc,51tc6o12uqA,Undirected,1
-N5eucPMTTc,X5DWRXTOUD0,Undirected,1
-N5eucPMTTc,J2kNt-PHayo,Undirected,2
-N5eucPMTTc,AtIoXmGwyfA,Undirected,2
-N5eucPMTTc,fIElFIuzGLI,Undirected,1
-N5eucPMTTc,PCVtE3wRNPg,Undirected,2
-N5eucPMTTc,fzs6O7b9Fe0,Undirected,1
-N5eucPMTTc,Yhea380bYp0,Undirected,1
-N5eucPMTTc,Q0hEOLm6Wrs,Undirected,1
-N5eucPMTTc,zX1_qEVop0Q,Undirected,2
-N5eucPMTTc,OHOkdEBpwDc,Undirected,1
-N5eucPMTTc,Da2crn5NXc4,Undirected,9
-N5eucPMTTc,Fh3zmz7Ravw,Undirected,1
-N5eucPMTTc,zB1pY4n_FyQ,Undirected,1
-N5eucPMTTc,IjKdDRfJGT8,Undirected,1
-N5eucPMTTc,k9PdgjmQcKI,Undirected,31
-N5eucPMTTc,Vlv_rWiwp-0,Undirected,1
-N5eucPMTTc,Bhg9I26EghQ,Undirected,2
-N5eucPMTTc,IE5TzELzvmU,Undirected,1
-N5eucPMTTc,H83cVi2sCJM,Undirected,1
-N5eucPMTTc,XbDKZMy-HEg,Undirected,2
-N5eucPMTTc,XZNUgzO9xJA,Undirected,9
-N5eucPMTTc,e5IRkF20JmU,Undirected,1
-N5eucPMTTc,NuKHa6c2LuU,Undirected,1
-N5eucPMTTc,n26wtR-OFr8,Undirected,1
-N5eucPMTTc,58sRIu0PUok,Undirected,2
-N5eucPMTTc,RJyb4Nzi-qo,Undirected,2
-N5eucPMTTc,VTVLcK2zybM,Undirected,1
-N5eucPMTTc,V6cb-D8-vTg,Undirected,2
